Sample_name,Locus,Hash,nReads
1003.3,16S_Prey,394941fe61578579e0311cf90225a8cdce9c63c9,2707
1003.3,16S_Prey,7de221449042e1da583f638bbc7dd6e0a353c851,13150
1003.3,16S_Prey,be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,8706
1003.3,16S_Prey,5dd046e872a3d4a2d69e5d74a88f680516715f9f,3851
1003.3,16S_Prey,7818bdd7939aa411e9b402022f9eab34020aa16b,697
1003.3,16S_Prey,1743f8eaf67cde48a163da36605a8901790090ac,689
1003.3,16S_Prey,9c9a29499030c39f474ca37c50e7132f298e9958,625
1003.3,16S_Prey,d3056655cdf43b6d31d8ef85bd94d9fbdf3f94cd,243
1003.3,16S_Prey,30a3ed2122d9734df38fac9e672ea61193e80385,365
1003.3,16S_Prey,995d2c784f73e37d57f2e2557ee3a318ecce3515,179
1003.3,16S_Prey,d16946209d740efffdc258091dfdb82a577921e8,117
1003.3,16S_Prey,016017422aad96fb0e46701638f7197a9f953344,72
1003.3,16S_Prey,74c3d0dd79f72261d07798440938648c202da5cb,896
1003.3,16S_Prey,305ce911885ee86e81e9f826aa2b920ddc3d1e66,174
1003.3,16S_Prey,b3763487b9262c9f32067a07de16242f13d7699b,268
1003.3,16S_Prey,09dd6214315ab5773e7ecb298e495e449c2ac691,209
1003.3,16S_Prey,6cd6af52711b3a64cf515f24963877eaee3c6c78,194
1003.3,16S_Prey,78d17e1269e4bb40ba3575394b70f9030321c58b,187
1003.3,16S_Prey,e4d8f520c01ea3d85027473225787b72fbf8f0db,135
1003.3,16S_Prey,ef56ad97512bbeca9c4681401db074fb6e292347,124
1003.3,16S_Prey,23d81d61b16682d8f8eb42342fc5f0352708c6e2,96
1003.3,16S_Prey,de22a706320b1a327884ccb7fe7be3f2530503e9,82
1003.3,16S_Prey,858349107c46705bfe883f56ad8560fd7243f5d8,33
1003.4,16S_Prey,394941fe61578579e0311cf90225a8cdce9c63c9,11585
1003.4,16S_Prey,7de221449042e1da583f638bbc7dd6e0a353c851,2348
1003.4,16S_Prey,be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,8455
1003.4,16S_Prey,5dd046e872a3d4a2d69e5d74a88f680516715f9f,560
1003.4,16S_Prey,7818bdd7939aa411e9b402022f9eab34020aa16b,1307
1003.4,16S_Prey,78bc87be1cb86ffd6ebb028518571db3bade8e4c,3995
1003.4,16S_Prey,e44557dd4b64b3b1ac387d666b8458e3e9ea1d6c,56
1003.4,16S_Prey,1e89e17d703adb95dc75f153882024f2b77a19e3,295
