taxon,family,genus,species,diet,morphology,habitat use,life history,diel migration,size(mm),source,new.morphotype,...13,npoints
Gadidae%Microgadus%Microgadus proximus,Gadidae,Microgadus,Microgadus proximus,"Fish, invertebrates",Cod,surface-mid,ocean,NA,305,NA,Pelagic predator,Marine; brackish; demersal,6
Gadidae%Microgadus%NA,Gadidae,Microgadus,NA,"Fish, invertebrates",Cod,surface-mid,ocean,NA,305,NA,Pelagic predator,Marine; brackish; demersal,1
Gonostomatidae%Cyclothone%NA,Gonostomatidae,Cyclothone,NA,plankton,bristlefish,deepwater,ocean,NA,100,NA,deepwater,Marine; bathypelagic,1
Hexagrammidae%Hexagrammos%Hexagrammos decagrammus,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,invertebrates,kelpfish,"seafloor, shallow",ocean,NA,610,NA,"seafloor, shallow",Marine; demersal,2
Hexagrammidae%Ophiodon%Ophiodon elongatus,Hexagrammidae,Ophiodon,Ophiodon elongatus,Fish,Eel,"seafloor, shallow",ocean,NA,1500,NA,"seafloor, shallow",Marine; demersal,6
Jordaniidae%Jordania%Jordania zonope,Jordaniidae,Jordania,Jordania zonope,invertebrates,sculpin,"seafloor, shallow",ocean,NA,150,NA,seafloor,Marine; demersal,1
Liparidae%Liparis%Liparis florae,Liparidae,Liparis,Liparis florae,NA,snailfish,"seafloor, shallow",ocean,NA,NA,NA,"seafloor, shallow",Marine; demersal,1
Liparidae%Liparis%Liparis fucensis|callyodon,Liparidae,Liparis,Liparis fucensis|callyodon,NA,snailfish,seafloor,NA,NA,NA,NA,seafloor,Marine; demersal,1
Liparidae%Liparis%Liparis pulchellus,Liparidae,Liparis,Liparis pulchellus,NA,snailfish,seafloor,NA,NA,NA,NA,seafloor,Marine; demersal,2
Liparidae%Liparis%NA,Liparidae,Liparis,NA,NA,snailfish,seafloor,NA,NA,NA,NA,seafloor,Marine; demersal,1
Liparidae%NA%NA,Liparidae,NA,NA,NA,snailfish,seafloor,NA,NA,NA,NA,seafloor,Marine; demersal,1
Merlucciidae%Merluccius%Merluccius angustimanus|productus,Merlucciidae,Merluccius,Merluccius angustimanus|productus,"fish, plankton",Hake,midwater,ocean,yes,899,NA,Pelagic predator,Marine; brackish; pelagic-neritic,1
Merlucciidae%Merluccius%Merluccius productus,Merlucciidae,Merluccius,Merluccius productus,"fish, plankton",Hake,midwater,ocean,yes,900,NA,Pelagic predator,Marine; brackish; pelagic-neritic,47
Merlucciidae%Merluccius%NA,Merlucciidae,Merluccius,NA,"fish, plankton",Hake,midwater,ocean,yes,900,NA,Pelagic predator,Marine; brackish; pelagic-neritic,34
Microstomatidae%NA%NA,Microstomatidae,NA,NA,NA,argentine,deepwater,ocean,NA,219,NA,deepwater,Marine; bathypelagic,2
Microstomatidae%Nansenia%Nansenia candida,Microstomatidae,Nansenia,Nansenia candida,NA,argentine,deepwater,ocean,NA,220,NA,deepwater,Marine; bathypelagic,8
Molidae%Mola%Mola mola,Molidae,Mola,Mola mola,small fishes,sunfish,midwater,ocean,NA,4000,NA,Pelagic predator,Marine; pelagic-oceanic,3
Molidae%NA%NA,Molidae,NA,NA,small fishes,sunfish,midwater,ocean,NA,4000,NA,Pelagic predator,Marine; pelagic-oceanic,2
Myctophidae%Diaphus%Diaphus theta,Myctophidae,Diaphus,Diaphus theta,NA,Myctophid,deepwater,ocean,NA,NA,NA,deepwater,Marine; bathypelagic,18
Myctophidae%Diaphus%NA,Myctophidae,Diaphus,NA,NA,Myctophid,deepwater,ocean,NA,NA,NA,deepwater,Marine; bathypelagic,8
Myctophidae%NA%NA,Myctophidae,NA,NA,NA,Myctophid,deepwater,ocean,NA,NA,NA,deepwater,Marine; bathypelagic,14
